checked_outputs,family,format,free_after_bytes,free_before_bytes,host_complete_median_ms,host_complete_p95_ms,k,kernel_median_ms,kernel_p95_ms,log,logical_flops,logical_k,logical_n,m,max_abs_quant_error,measured_flops,measured_n,n,operand_b_bytes,output,padded_k,padded_n,path,samples,scale_b_bytes,threadblock_tile_flops_estimate,weight_pack_ms,weight_upload_ms,workspace_basis,workspace_bytes
12,attn_k,nvfp4,33093058560,33099350016,0.555661,0.5734,5120,0.026016,0.027776,.cache/task019/real-matrix/core/attn_k-m1.log,10485760,5120,1024,1,0.3125,10485760,1024,1024,2621440,BF16,5120,1024,native_gemm,20,327680,1342177280,302.1,0.168009,cutlass_get_workspace_size,0
12,attn_k,nvfp4,33093058560,33099350016,0.024376000000000002,0.033824,5120,0.013712,0.014272,.cache/task019/real-matrix/core/attn_k-m1.log,10485760,5120,1024,1,0.3125,10485760,1024,1024,2621440,BF16,5120,1024,same_weight_bf16_gemv,20,327680,,302.1,0.168009,no_explicit_workspace,0
12,attn_k,mxfp4,33093058560,33099350016,0.517854,0.53125,5120,0.026208000000000002,0.03424,.cache/task019/real-matrix/core/attn_k-m1.log,10485760,5120,1024,1,0.460938,10485760,1024,1024,2621440,BF16,5120,1024,native_gemm,20,163840,1342177280,274.049,0.181174,cutlass_get_workspace_size,0
12,attn_k,mxfp4,33093058560,33099350016,0.0302925,0.033543,5120,0.012448,0.015008,.cache/task019/real-matrix/core/attn_k-m1.log,10485760,5120,1024,1,0.460938,10485760,1024,1024,2621440,BF16,5120,1024,same_weight_bf16_gemv,20,163840,,274.049,0.181174,no_explicit_workspace,0
,attn_k,bf16,,,0.020222499999999997,0.034846,5120,0.009871999999999999,0.019232,.cache/task019/real-matrix/core/attn_k-m1.log,10485760,5120,1024,1,0.0,10485760,1024,1024,10485760,BF16,5120,1024,library_gemm,20,0,,0.0,,no_user_workspace_library_internal_in_free_after,0
,attn_k,q4g64,,,0.020919,0.033153,5120,0.010768,0.01216,.cache/task019/real-matrix/core/attn_k-m1.log,10485760,5120,1024,1,0.283203,1310720,128,1024,327680,BF16,5120,1024,bounded_unpack_gemm,20,20480,,1.44919,,no_user_workspace_library_internal_in_free_after,0
72,attn_k,nvfp4,33082572800,33099350016,505.4125,505.614,5120,0.035696,0.04112,.cache/task019/real-matrix/core/attn_k-m1024.log,10737418240,5120,1024,1024,0.3125,10737418240,1024,1024,2621440,BF16,5120,1024,native_gemm,20,327680,10737418240,300.576,0.209247,cutlass_get_workspace_size,0
72,attn_k,nvfp4,33082572800,33099350016,0.0246065,0.036299,5120,0.01344,0.015168,.cache/task019/real-matrix/core/attn_k-m1024.log,10737418240,5120,1024,1024,0.3125,10485760,1024,1024,2621440,BF16,5120,1024,same_weight_bf16_gemv,20,327680,,300.576,0.209247,no_explicit_workspace,0
72,attn_k,mxfp4,33082572800,33099350016,485.164,486.401,5120,0.03496,0.03968,.cache/task019/real-matrix/core/attn_k-m1024.log,10737418240,5120,1024,1024,0.460938,10737418240,1024,1024,2621440,BF16,5120,1024,native_gemm,20,163840,10737418240,274.279,0.185423,cutlass_get_workspace_size,0
72,attn_k,mxfp4,33082572800,33099350016,0.025668999999999997,0.033794,5120,0.01272,0.015072,.cache/task019/real-matrix/core/attn_k-m1024.log,10737418240,5120,1024,1024,0.460938,10485760,1024,1024,2621440,BF16,5120,1024,same_weight_bf16_gemv,20,163840,,274.279,0.185423,no_explicit_workspace,0
,attn_k,bf16,,,0.672569,0.681524,5120,0.061008,0.062752,.cache/task019/real-matrix/core/attn_k-m1024.log,10737418240,5120,1024,1024,0.0,10737418240,1024,1024,10485760,BF16,5120,1024,library_gemm,20,0,,0.0,,no_user_workspace_library_internal_in_free_after,0
,attn_k,q4g64,,,0.520108,0.531,5120,0.020752,0.028608,.cache/task019/real-matrix/core/attn_k-m1024.log,10737418240,5120,1024,1024,0.404297,1342177280,128,1024,327680,BF16,5120,1024,bounded_unpack_gemm,20,20480,,1.45343,,no_user_workspace_library_internal_in_free_after,0
72,attn_k,nvfp4,33093058560,33099350016,63.445499999999996,63.7885,5120,0.026528000000000003,0.036352,.cache/task019/real-matrix/core/attn_k-m128.log,1342177280,5120,1024,128,0.3125,1342177280,1024,1024,2621440,BF16,5120,1024,native_gemm,20,327680,1342177280,302.009,0.179622,cutlass_get_workspace_size,0
72,attn_k,nvfp4,33093058560,33099350016,0.025194,0.030578,5120,0.014016,0.018464,.cache/task019/real-matrix/core/attn_k-m128.log,1342177280,5120,1024,128,0.3125,10485760,1024,1024,2621440,BF16,5120,1024,same_weight_bf16_gemv,20,327680,,302.009,0.179622,no_explicit_workspace,0
72,attn_k,mxfp4,33093058560,33099350016,60.8191,60.8411,5120,0.026864,0.029696,.cache/task019/real-matrix/core/attn_k-m128.log,1342177280,5120,1024,128,0.460938,1342177280,1024,1024,2621440,BF16,5120,1024,native_gemm,20,163840,1342177280,275.228,0.166705,cutlass_get_workspace_size,0
