warp_ab_correctness position=0 warp_eligible=true cta_eligible=true vs_cta_max=0 vs_cta_rms=0
warp_ab_correctness position=1 warp_eligible=true cta_eligible=true vs_cta_max=5.58793545e-08 vs_cta_rms=6.12660545e-09
warp_ab_correctness position=15 warp_eligible=true cta_eligible=true vs_cta_max=4.09781933e-08 vs_cta_rms=4.09192724e-09
warp_ab_correctness position=16 warp_eligible=true cta_eligible=true vs_cta_max=7.4505806e-08 vs_cta_rms=7.13423365e-09
warp_ab_correctness position=31 warp_eligible=true cta_eligible=true vs_cta_max=5.96046448e-08 vs_cta_rms=5.02430053e-09
warp_ab_correctness position=32 warp_eligible=true cta_eligible=true vs_cta_max=5.96046448e-08 vs_cta_rms=6.21848129e-09
warp_ab_correctness position=127 warp_eligible=true cta_eligible=true vs_cta_max=1.49011612e-08 vs_cta_rms=1.49619472e-09
warp_ab_correctness position=128 warp_eligible=true cta_eligible=true vs_cta_max=6.70552254e-08 vs_cta_rms=8.68033467e-09
warp_ab_correctness position=2047 warp_eligible=true cta_eligible=true vs_cta_max=1.04308128e-07 vs_cta_rms=1.23296466e-08
warp_ab_correctness position=2048 warp_eligible=true cta_eligible=true vs_cta_max=1.04308128e-07 vs_cta_rms=1.15188836e-08
warp_ab_correctness position=2303 warp_eligible=true cta_eligible=true vs_cta_max=2.83122063e-07 vs_cta_rms=4.09293079e-08
warp_ab_correctness position=131071 warp_eligible=true cta_eligible=true vs_cta_max=2.08616257e-07 vs_cta_rms=2.54638302e-08
warp_ab position=128 id=cta_group warmup=0 ms=0.0935039967 occupancy=2
warp_ab position=128 id=warp_query warmup=0 ms=0.0251839999 occupancy=24
warp_ab position=128 id=cta_group warmup=1 ms=0.0862080008 occupancy=2
warp_ab position=128 id=warp_query warmup=1 ms=0.0294400007 occupancy=24
warp_ab position=128 id=cta_group warmup=2 ms=0.0889599994 occupancy=2
warp_ab position=128 id=warp_query warmup=2 ms=0.0297599994 occupancy=24
warp_ab position=128 id=cta_group sample=0 ms=0.0855680034 occupancy=2
warp_ab position=128 id=warp_query sample=0 ms=0.0296960007 occupancy=24
warp_ab position=128 id=cta_group sample=1 ms=0.0858879983 occupancy=2
warp_ab position=128 id=warp_query sample=1 ms=0.0296960007 occupancy=24
warp_ab position=128 id=cta_group sample=2 ms=0.086496003 occupancy=2
warp_ab position=128 id=warp_query sample=2 ms=0.0251519997 occupancy=24
warp_ab position=128 id=cta_group sample=3 ms=0.0876479968 occupancy=2
warp_ab position=128 id=warp_query sample=3 ms=0.0296 occupancy=24
warp_ab position=128 id=cta_group sample=4 ms=0.0895359963 occupancy=2
warp_ab position=128 id=warp_query sample=4 ms=0.0263999999 occupancy=24
warp_ab position=128 id=cta_group sample=5 ms=0.0934400037 occupancy=2
warp_ab position=128 id=warp_query sample=5 ms=0.0294400007 occupancy=24
warp_ab position=128 id=cta_group sample=6 ms=0.0868479982 occupancy=2
warp_ab position=128 id=warp_query sample=6 ms=0.0295679998 occupancy=24
warp_ab position=128 id=cta_group sample=7 ms=0.0871040002 occupancy=2
warp_ab position=128 id=warp_query sample=7 ms=0.0296960007 occupancy=24
warp_ab position=128 id=cta_group sample=8 ms=0.0859199986 occupancy=2
warp_ab position=128 id=warp_query sample=8 ms=0.0297279991 occupancy=24
warp_ab position=128 id=cta_group sample=9 ms=0.0870719999 occupancy=2
warp_ab position=128 id=warp_query sample=9 ms=0.0215360001 occupancy=24
warp_ab position=128 id=cta_group sample=10 ms=0.101824 occupancy=2
warp_ab position=128 id=warp_query sample=10 ms=0.02128 occupancy=24
warp_ab position=128 id=cta_group sample=11 ms=0.0866239965 occupancy=2
warp_ab position=128 id=warp_query sample=11 ms=0.0214079991 occupancy=24
warp_ab position=128 id=cta_group sample=12 ms=0.0855040029 occupancy=2
warp_ab position=128 id=warp_query sample=12 ms=0.0261439998 occupancy=24
warp_ab position=128 id=cta_group sample=13 ms=0.086112 occupancy=2
warp_ab position=128 id=warp_query sample=13 ms=0.0212479997 occupancy=24
warp_ab position=128 id=cta_group sample=14 ms=0.0865280032 occupancy=2
warp_ab position=128 id=warp_query sample=14 ms=0.0215039998 occupancy=24
warp_ab position=128 id=cta_group sample=15 ms=0.0878399983 occupancy=2
warp_ab position=128 id=warp_query sample=15 ms=0.0204799995 occupancy=24
warp_ab position=128 id=cta_group sample=16 ms=0.0856319964 occupancy=2
warp_ab position=128 id=warp_query sample=16 ms=0.0213760007 occupancy=24
warp_ab position=128 id=cta_group sample=17 ms=0.0871040002 occupancy=2
warp_ab position=128 id=warp_query sample=17 ms=0.0201600008 occupancy=24
warp_ab position=128 id=cta_group sample=18 ms=0.0868799984 occupancy=2
warp_ab position=128 id=warp_query sample=18 ms=0.0262080003 occupancy=24
warp_ab position=128 id=cta_group sample=19 ms=0.0856000036 occupancy=2
warp_ab position=128 id=warp_query sample=19 ms=0.0214079991 occupancy=24
warp_ab position=128 id=cta_group sample=20 ms=0.086815998 occupancy=2
warp_ab position=128 id=warp_query sample=20 ms=0.0284160003 occupancy=24
warp_ab position=128 id=cta_group sample=21 ms=0.0916159973 occupancy=2
warp_ab position=128 id=warp_query sample=21 ms=0.0211839993 occupancy=24
warp_ab position=128 id=cta_group sample=22 ms=0.0859199986 occupancy=2
warp_ab position=128 id=warp_query sample=22 ms=0.0214399993 occupancy=24
warp_ab position=128 id=cta_group sample=23 ms=0.088064 occupancy=2
warp_ab position=128 id=warp_query sample=23 ms=0.0215039998 occupancy=24
warp_ab position=128 id=cta_group sample=24 ms=0.0865600035 occupancy=2
warp_ab position=128 id=warp_query sample=24 ms=0.0215680003 occupancy=24
warp_ab position=128 id=cta_group sample=25 ms=0.086815998 occupancy=2
warp_ab position=128 id=warp_query sample=25 ms=0.0214079991 occupancy=24
warp_ab position=128 id=cta_group sample=26 ms=0.0855360031 occupancy=2
warp_ab position=128 id=warp_query sample=26 ms=0.026176 occupancy=24
warp_ab position=128 id=cta_group sample=27 ms=0.0867199972 occupancy=2
warp_ab position=128 id=warp_query sample=27 ms=0.0211520009 occupancy=24
warp_ab position=128 id=cta_group sample=28 ms=0.0865280032 occupancy=2
warp_ab position=128 id=warp_query sample=28 ms=0.0297279991 occupancy=24
warp_ab position=128 id=cta_group sample=29 ms=0.0867839977 occupancy=2
warp_ab position=128 id=warp_query sample=29 ms=0.0252480004 occupancy=24
warp_ab_mean position=128 id=cta_group mean_ms=0.0875509307 occupancy=2 eligible=true
warp_ab_mean position=128 id=warp_query mean_ms=0.0246517342 occupancy=24 eligible=true
warp_ab_winner position=128 id=warp_query win=true cta_ms=0.0875509307 warp_ms=0.0246517342
warp_ab position=2048 id=cta_group warmup=0 ms=0.803103983 occupancy=2
warp_ab position=2048 id=warp_query warmup=0 ms=0.0765440017 occupancy=24
warp_ab position=2048 id=cta_group warmup=1 ms=0.800960004 occupancy=2
warp_ab position=2048 id=warp_query warmup=1 ms=0.0769279972 occupancy=24
warp_ab position=2048 id=cta_group warmup=2 ms=0.801472008 occupancy=2
warp_ab position=2048 id=warp_query warmup=2 ms=0.0770239979 occupancy=24
warp_ab position=2048 id=cta_group sample=0 ms=0.806400001 occupancy=2
warp_ab position=2048 id=warp_query sample=0 ms=0.0773120001 occupancy=24
warp_ab position=2048 id=cta_group sample=1 ms=0.801280022 occupancy=2
warp_ab position=2048 id=warp_query sample=1 ms=0.0778559968 occupancy=24
warp_ab position=2048 id=cta_group sample=2 ms=0.800704002 occupancy=2
warp_ab position=2048 id=warp_query sample=2 ms=0.0782079995 occupancy=24
warp_ab position=2048 id=cta_group sample=3 ms=0.802175999 occupancy=2
warp_ab position=2048 id=warp_query sample=3 ms=0.0772159994 occupancy=24
warp_ab position=2048 id=cta_group sample=4 ms=0.801407993 occupancy=2
warp_ab position=2048 id=warp_query sample=4 ms=0.0770559981 occupancy=24
warp_ab position=2048 id=cta_group sample=5 ms=0.802367985 occupancy=2
warp_ab position=2048 id=warp_query sample=5 ms=0.0772159994 occupancy=24
warp_ab position=2048 id=cta_group sample=6 ms=0.806208014 occupancy=2
warp_ab position=2048 id=warp_query sample=6 ms=0.0773760006 occupancy=24
warp_ab position=2048 id=cta_group sample=7 ms=0.80073601 occupancy=2
warp_ab position=2048 id=warp_query sample=7 ms=0.0770559981 occupancy=24
warp_ab position=2048 id=cta_group sample=8 ms=0.800383985 occupancy=2
warp_ab position=2048 id=warp_query sample=8 ms=0.0771839991 occupancy=24
warp_ab position=2048 id=cta_group sample=9 ms=0.80428803 occupancy=2
warp_ab position=2048 id=warp_query sample=9 ms=0.079967998 occupancy=24
warp_ab position=2048 id=cta_group sample=10 ms=0.800351977 occupancy=2
warp_ab position=2048 id=warp_query sample=10 ms=0.0855360031 occupancy=24
warp_ab position=2048 id=cta_group sample=11 ms=0.803391993 occupancy=2
warp_ab position=2048 id=warp_query sample=11 ms=0.0761599988 occupancy=24
warp_ab position=2048 id=cta_group sample=12 ms=0.801280022 occupancy=2
warp_ab position=2048 id=warp_query sample=12 ms=0.0773760006 occupancy=24
warp_ab position=2048 id=cta_group sample=13 ms=0.800288022 occupancy=2
warp_ab position=2048 id=warp_query sample=13 ms=0.076191999 occupancy=24
warp_ab position=2048 id=cta_group sample=14 ms=0.802272022 occupancy=2
warp_ab position=2048 id=warp_query sample=14 ms=0.0773120001 occupancy=24
warp_ab position=2048 id=cta_group sample=15 ms=0.799903989 occupancy=2
warp_ab position=2048 id=warp_query sample=15 ms=0.0762239993 occupancy=24
warp_ab position=2048 id=cta_group sample=16 ms=0.811263978 occupancy=2
warp_ab position=2048 id=warp_query sample=16 ms=0.0771839991 occupancy=24
warp_ab position=2048 id=cta_group sample=17 ms=0.799296021 occupancy=2
warp_ab position=2048 id=warp_query sample=17 ms=0.076191999 occupancy=24
warp_ab position=2048 id=cta_group sample=18 ms=0.800256014 occupancy=2
warp_ab position=2048 id=warp_query sample=18 ms=0.076191999 occupancy=24
warp_ab position=2048 id=cta_group sample=19 ms=0.806496024 occupancy=2
warp_ab position=2048 id=warp_query sample=19 ms=0.0769279972 occupancy=24
warp_ab position=2048 id=cta_group sample=20 ms=0.800224006 occupancy=2
warp_ab position=2048 id=warp_query sample=20 ms=0.0771199986 occupancy=24
warp_ab position=2048 id=cta_group sample=21 ms=0.804543972 occupancy=2
warp_ab position=2048 id=warp_query sample=21 ms=0.0771839991 occupancy=24
warp_ab position=2048 id=cta_group sample=22 ms=0.802304029 occupancy=2
warp_ab position=2048 id=warp_query sample=22 ms=0.0763520002 occupancy=24
warp_ab position=2048 id=cta_group sample=23 ms=0.802272022 occupancy=2
warp_ab position=2048 id=warp_query sample=23 ms=0.076191999 occupancy=24
warp_ab position=2048 id=cta_group sample=24 ms=0.801280022 occupancy=2
warp_ab position=2048 id=warp_query sample=24 ms=0.0774080008 occupancy=24
warp_ab position=2048 id=cta_group sample=25 ms=0.805055976 occupancy=2
warp_ab position=2048 id=warp_query sample=25 ms=0.0772159994 occupancy=24
warp_ab position=2048 id=cta_group sample=26 ms=0.799328029 occupancy=2
warp_ab position=2048 id=warp_query sample=26 ms=0.0773760006 occupancy=24
warp_ab position=2048 id=cta_group sample=27 ms=0.800000012 occupancy=2
warp_ab position=2048 id=warp_query sample=27 ms=0.0772479996 occupancy=24
warp_ab position=2048 id=cta_group sample=28 ms=0.804416001 occupancy=2
warp_ab position=2048 id=warp_query sample=28 ms=0.0770879984 occupancy=24
warp_ab position=2048 id=cta_group sample=29 ms=0.802272022 occupancy=2
warp_ab position=2048 id=warp_query sample=29 ms=0.0771519989 occupancy=24
warp_ab_mean position=2048 id=cta_group mean_ms=0.802414954 occupancy=2 eligible=true
warp_ab_mean position=2048 id=warp_query mean_ms=0.0774026662 occupancy=24 eligible=true
warp_ab_winner position=2048 id=warp_query win=true cta_ms=0.802414954 warp_ms=0.0774026662
